pl_name,pl_radj,pl_bmassj,pl_orbper,st_teff
Kepler-1542 c,0.05798912,0.00065300,2.89223021000,5564.00
HD 30856 b,1.21000000,1.54700000,847.00000000000,4895.00
Kepler-173 c,0.21700000,0.02040000,8.00577700000,6031.00
TOI-163 b,1.48900000,1.22000000,4.23130600000,6495.00
Kepler-1445 b,0.08564546,0.00264000,10.60052251000,6150.00
Kepler-1095 b,0.10794897,0.00606000,4.27103091000,5658.00
Kepler-1123 b,0.14898742,0.01080000,4.33946454000,5500.00
NGTS-8 b,1.09000000,0.93000000,2.49970000000,5241.00
Kepler-2000 b,0.24355471,0.02490000,6.38315913500,3757.00
Kepler-1371 c,0.05709698,0.00061800,2.00541269000,5361.00
Kepler-538 b,0.19760940,0.04058794,81.73778000000,5534.00
HD 219134 c,0.13480239,0.01371803,6.76458000000,4699.00
HD 219134 f,0.11687037,0.02296825,22.71700000000,4699.00
HD 219134 h,1.14000000,0.34000000,2247.00000000000,4913.00
Kepler-1877 b,0.05567732,0.00056400,2.37756991400,5615.00
Kepler-331 c,0.16400000,0.01270000,17.28111000000,4347.00
Kepler-543 b,0.22303506,0.02140000,13.89961966000,4671.00
HD 150010 b,1.18000000,2.40000000,562.00000000000,4153.00
Kepler-1105 b,0.17932019,0.01480000,4.42157218200,4299.00
Kepler-1311 b,0.11062539,0.00651000,11.17269940000,5748.00
K2-58 c,0.14452672,0.01020000,2.53726000000,5413.00
Kepler-1449 b,0.14987956,0.01090000,13.22745280000,5979.00
HD 38801 b,1.11000000,9.69800000,685.25000000000,5338.00
Kepler-389 c,0.13000000,0.00859000,14.51143000000,5376.00
Kepler-147 c,0.21700000,0.02040000,33.41642300000,6012.00
GJ 1265 b,0.23400000,0.02328289,3.65110000000,3236.00
Kepler-604 b,0.23106432,0.02270000,25.85501786000,5890.00
K2-12 b,0.21768259,0.01636103,8.28246000000,5672.00
GJ 514 b,0.19000000,0.01636103,140.43000000000,3728.00
Kepler-92 c,0.23200000,0.01900000,26.72300000000,5883.00
